target_label,seed,score,known_coverage_target,threshold,known_test_coverage,known_false_reject_rate,unknown_recall,unknown_auroc,unknown_auprc,known_accepted_l3_accuracy,known_rejected_parent_accuracy,unknown_rejected_parent_accuracy,unknown_parent_safe_rate,known_accepted_l3_risk,known_hierarchical_accuracy,unknown_hierarchical_accuracy,combined_hierarchical_accuracy,unknown_unsafe_accept_rate,n_val_known,n_test_known,n_test_unknown
gdT_2,42,energy,0.95,-4.543338298797607,0.9404861693210393,0.05951383067896061,0.5128644939965694,0.7377556903549723,0.22371366630536535,0.9367201426024956,0.7305164319248826,0.14715719063545152,0.07547169811320754,0.06327985739750441,0.9244481698798547,0.07547169811320754,0.8976620846411949,0.48713550600343053,9942,17895,583
gdT_2,42,energy,0.8,-5.097387790679932,0.7741827326068734,0.22581726739312658,0.6723842195540308,0.7377556903549723,0.22371366630536535,0.9478129060199221,0.9000247463499134,0.12244897959183673,0.0823327615780446,0.052187093980077925,0.9370215143894943,0.0823327615780446,0.9100552007793051,0.3276157804459691,9942,17895,583
gdT_2,43,one_minus_max_probability,0.95,0.32762521505355835,0.9423302598491199,0.05766974015088013,0.41509433962264153,0.7228226211888772,0.16850595308657157,0.937199786514855,0.7645348837209303,0.16942148760330578,0.07032590051457976,0.06280021348514497,0.9272422464375524,0.07032590051457976,0.9002056499621172,0.5849056603773585,9942,17895,583
gdT_2,43,one_minus_max_probability,0.8,0.2158430814743042,0.7734003911707181,0.22659960882928193,0.5660377358490566,0.7228226211888772,0.16850595308657157,0.936849710982659,0.9183723797780518,0.1484848484848485,0.08404802744425385,0.06315028901734099,0.9326627549594859,0.08404802744425385,0.9058880831258794,0.4339622641509434,9942,17895,583
gdT_2,43,one_minus_margin,0.95,0.4666757583618164,0.94205085219335,0.0579491478066499,0.3670668953687822,0.7307998775015492,0.12107679709005154,0.9374777553683711,0.7753134040501446,0.16822429906542055,0.06174957118353345,0.06252224463162892,0.9280804694048617,0.06174957118353345,0.9007468340729516,0.6329331046312179,9942,17895,583
gdT_2,43,one_minus_margin,0.8,0.23297834396362305,0.7754121262922604,0.22458787370773958,0.6037735849056604,0.7307998775015492,0.12107679709005154,0.9439319688671087,0.9069420253794476,0.14488636363636365,0.08747855917667238,0.05606803113289127,0.9356244761106455,0.08747855917667238,0.9088645957354692,0.39622641509433965,9942,17895,583
gdT_2,43,energy,0.95,-4.479893207550049,0.9410449846325789,0.058955015367421065,0.5643224699828473,0.7890971586206368,0.23310875149364166,0.9361638954869359,0.7545023696682465,0.1458966565349544,0.0823327615780446,0.0638361045130641,0.9254540374406258,0.0823327615780446,0.8988526896850308,0.43567753001715265,9942,17895,583
gdT_2,43,energy,0.8,-5.021453380584717,0.7869796032411288,0.2130203967588712,0.7135506003430532,0.7890971586206368,0.23310875149364166,0.9501526663352978,0.8924449108079748,0.12740384615384615,0.09090909090909091,0.049847333664702176,0.9378597373568036,0.09090909090909091,0.9111375690009741,0.2864493996569468,9942,17895,583
NK_3,41,one_minus_max_probability,0.95,0.3058386445045471,0.9409134104757113,0.05908658952428867,0.2263843648208469,0.5361496328335267,0.05715363668535868,0.9398764258555133,0.7540208136234626,0.9640287769784173,0.2182410423452769,0.06012357414448666,0.9288948515847728,0.2182410423452769,0.905312652002378,0.7736156351791531,9939,17889,614
NK_3,41,one_minus_max_probability,0.8,0.20953518152236938,0.7840572418804852,0.2159427581195148,0.30130293159609123,0.5361496328335267,0.05715363668535868,0.940396406673321,0.9099145741651566,0.972972972972973,0.2931596091205212,0.05960359332667897,0.9338140756889709,0.2931596091205212,0.9125547208560774,0.6986970684039088,9939,17889,614
NK_3,41,one_minus_margin,0.95,0.42676228284835815,0.9395718039018391,0.06042819609816088,0.22312703583061888,0.5460337390018032,0.05742329073246746,0.9404450261780105,0.7585568917668826,0.9635036496350365,0.21498371335504887,0.05955497382198949,0.9294538543238862,0.21498371335504887,0.9057450143220018,0.7768729641693811,9939,17889,614
NK_3,41,one_minus_margin,0.8,0.2242213487625122,0.782715635306613,0.217284364693387,0.34039087947882735,0.5460337390018032,0.05742329073246746,0.9462933866590487,0.9042963725237972,0.9760765550239234,0.3322475570032573,0.05370661334095128,0.9371680921236514,0.3322475570032573,0.9170945252121278,0.6596091205211726,9939,17889,614
NK_3,41,energy,0.95,-4.6257100105285645,0.93711219184974,0.06288780815025993,0.21335504885993486,0.5316927240239894,0.054043994297358844,0.9398711524695776,0.7386666666666667,0.9618320610687023,0.20521172638436483,0.06012884753042236,0.9272178433674325,0.20521172638436483,0.9032589309841648,0.7866449511400652,9939,17889,614
NK_3,41,energy,0.8,-4.978676795959473,0.7903739728324669,0.20962602716753312,0.3273615635179153,0.5316927240239894,0.054043994297358844,0.9465308720560153,0.8928,0.9751243781094527,0.31921824104234525,0.05346912794398473,0.9352674828106657,0.31921824104234525,0.9148246230341026,0.6726384364820847,9939,17889,614
NK_3,42,one_minus_max_probability,0.95,0.38418954610824585,0.9428699200626083,0.05713007993739169,0.20684039087947884,0.5701021299825215,0.06200056837150798,0.9394083120886939,0.7524461839530333,0.952755905511811,0.1970684039087948,0.06059168791130609,0.9287271507630387,0.1970684039087948,0.9044479273631303,0.7931596091205212,9939,17889,614
NK_3,42,one_minus_max_probability,0.8,0.20069175958633423,0.7794175191458438,0.2205824808541562,0.3583061889250814,0.5701021299825215,0.06200056837150798,0.9525209782686653,0.8991383679675621,0.9727272727272728,0.3485342019543974,0.04747902173133467,0.9407457096539773,0.3485342019543974,0.9210938766686483,0.6416938110749185,9939,17889,614
NK_3,42,one_minus_margin,0.95,0.5880825519561768,0.9426463189669629,0.05735368103303706,0.18403908794788273,0.5828844013290062,0.059851766405229274,0.939868350827255,0.7641325536062378,0.9469026548672567,0.1742671009771987,0.06013164917274505,0.9297892559673543,0.1742671009771987,0.9047181538128952,0.8159609120521173,9939,17889,614
NK_3,42,one_minus_margin,0.8,0.21788763999938965,0.7779082117502376,0.22209178824976242,0.40390879478827363,0.5828844013290062,0.059851766405229274,0.95939925265881,0.8884973571608357,0.9758064516129032,0.3941368078175896,0.04060074734119001,0.9436525238973671,0.3941368078175896,0.9254174998648868,0.5960912052117264,9939,17889,614
NK_3,42,energy,0.95,-4.682504177093506,0.9486835485493879,0.05131645145061211,0.24267100977198697,0.5859300103078648,0.07508230127239984,0.9355370926875258,0.7538126361655774,0.959731543624161,0.23289902280130292,0.06446290731247417,0.9262116384370284,0.23289902280130292,0.9032048856942118,0.757328990228013,9939,17889,614
NK_3,42,energy,0.8,-5.0093817710876465,0.8004360221365084,0.19956397786349153,0.3583061889250814,0.5859300103078648,0.07508230127239984,0.9395209162651023,0.9072829131652661,0.9727272727272728,0.3485342019543974,0.06047908373489774,0.9330873721281234,0.3485342019543974,0.91368967194509,0.6416938110749185,9939,17889,614
NK_3,43,one_minus_max_probability,0.95,0.29778099060058594,0.940689809380066,0.05931019061993404,0.16938110749185667,0.4983137054179383,0.04612842607324401,0.941585452816734,0.7408105560791706,0.9519230769230769,0.16123778501628663,0.058414547183266,0.9296774554195315,0.16123778501628663,0.9041777009133654,0.8306188925081434,9939,17889,614
NK_3,43,one_minus_max_probability,0.8,0.2084871530532837,0.7962435015931578,0.2037564984068422,0.24104234527687296,0.4983137054179383,0.04612842607324401,0.9414490311710194,0.9045267489711935,0.9662162162162162,0.23289902280130292,0.05855096882898059,0.9339258762367936,0.23289902280130292,0.9106631357077231,0.758957654723127,9939,17889,614
NK_3,43,one_minus_margin,0.95,0.41261565685272217,0.939068701436637,0.06093129856336296,0.17100977198697068,0.5131733001354899,0.04771136430015331,0.9419013036490267,0.7541284403669725,0.9523809523809523,0.16286644951140064,0.05809869635097331,0.9304600592542903,0.16286644951140064,0.9049883802626602,0.8289902280130294,9939,17889,614
NK_3,43,one_minus_margin,0.8,0.22320371866226196,0.793504388171502,0.20649561182849796,0.2931596091205212,0.5131733001354899,0.04771136430015331,0.9475167312433955,0.8955062263129399,0.9722222222222222,0.28501628664495116,0.05248326875660447,0.936776790206272,0.28501628664495116,0.9151488947738204,0.7068403908794788,9939,17889,614
