test_donor,split,stage,n_seed_units,temperature_mean,temperature_ci_low,temperature_ci_high,nll_mean,nll_ci_low,nll_ci_high,ece_15bin_mean,ece_15bin_ci_low,ece_15bin_ci_high,brier_mean,brier_ci_low,brier_ci_high,accuracy_mean,accuracy_ci_low,accuracy_ci_high,weighted_f1_mean,weighted_f1_ci_low,weighted_f1_ci_high,macro_f1_mean,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high
P5,validation,after,3,0.7799155716158334,0.7161819710236844,0.8436491722079823,0.3177970104606075,0.25251342793802944,0.38308059298318553,0.026570770190664245,0.0032632297226000626,0.04987831065872843,0.1414735130353064,0.13111213542396155,0.15183489064665123,0.9091698004049754,0.9057465705092618,0.9125930303006891,0.9072948250019935,0.9034334583680844,0.9111561916359027,0.8166059728149717,0.7866124299385946,0.8465995156913488,0.8239104855131333,0.7950300336719737,0.8527909373542929
P5,validation,before,3,1.0,1.0,1.0,0.366887090551754,0.3234086600330253,0.4103655210704827,0.06525348132984606,0.05041598488441923,0.08009097777527288,0.14782693104111025,0.13790036247682258,0.15775349960539792,0.9091698004049754,0.9057465705092618,0.9125930303006891,0.9072948250019935,0.9034334583680844,0.9111561916359027,0.8166059728149717,0.7866124299385946,0.8465995156913488,0.8239104855131333,0.7950300336719737,0.8527909373542929
P6,test,after,3,0.83871628521517,0.8039989196522785,0.8734336507780616,0.4584126430155076,0.3271247630331233,0.5897005229978919,0.052703505346296586,0.020545902567797862,0.0848611081247953,0.15677226388985274,0.1439642451575112,0.1695802826221943,0.9085269822903609,0.9046271471776174,0.9124268174031044,0.9055531028783185,0.9036098678595716,0.9074963378970653,0.7909861050069739,0.7658675770090523,0.8161046330048954,0.7866058092865731,0.7553090423509464,0.8179025762221998
P6,test,before,3,1.0,1.0,1.0,0.47231271452748896,0.3554569832460073,0.5891684458089707,0.06527724232298394,0.045570518140107166,0.08498396650586072,0.1606870086694857,0.14804523340877204,0.17332878393019938,0.9085269822903609,0.9046271471776174,0.9124268174031044,0.9055531028783185,0.9036098678595716,0.9074963378970653,0.7909861050069739,0.7658675770090523,0.8161046330048954,0.7866058092865731,0.7553090423509464,0.8179025762221998
P6,validation,after,3,0.83871628521517,0.8039989196522785,0.8734336507780616,0.3797870655763522,0.30399987507623505,0.4555742560764694,0.0469877511853574,0.017681710280341323,0.07629379209037347,0.1317926327378642,0.1298442862194503,0.13374097925627812,0.923311816319431,0.917932115675451,0.9286915169634111,0.9226943450935167,0.9172283743353061,0.9281603158517272,0.8346586315269385,0.8313337143831657,0.8379835486707113,0.8291172177131115,0.8244841735871715,0.8337502618390515
P6,validation,before,3,1.0,1.0,1.0,0.41082995968663977,0.3424816873314777,0.4791782320418018,0.07628538729465427,0.05394724429816543,0.09862353029114311,0.13915603651533842,0.13648248825431017,0.14182958477636667,0.923311816319431,0.917932115675451,0.9286915169634111,0.9226943450935167,0.9172283743353061,0.9281603158517272,0.8346586315269385,0.8313337143831657,0.8379835486707113,0.8291172177131115,0.8244841735871715,0.8337502618390515
P7,test,after,3,0.7883014944684535,0.5690527864871843,1.0075502024497227,0.332051246734457,0.14848984150909547,0.5156126519598185,0.03597079613141078,-0.01645312368135493,0.08839471594417649,0.13303076117920049,0.11434259670038016,0.1517189256580208,0.9183126538079961,0.9154799232956664,0.9211453843203258,0.9173949944389741,0.9147859277839993,0.9200040610939489,0.816337241566418,0.7881197750743296,0.8445547080585063,0.8113707031196697,0.7728908200692393,0.8498505861701002
P7,test,before,3,1.0,1.0,1.0,0.3875611135132317,0.2743997207227614,0.500722506303702,0.08737018766835454,0.060056250966857766,0.11468412436985131,0.14329396824868365,0.13432199281058757,0.15226594368677973,0.9183126538079961,0.9154799232956664,0.9211453843203258,0.9173949944389741,0.9147859277839993,0.9200040610939489,0.816337241566418,0.7881197750743296,0.8445547080585063,0.8113707031196697,0.7728908200692393,0.8498505861701002
P7,validation,after,3,0.7883014944684535,0.5690527864871843,1.0075502024497227,0.3611592676126966,0.15084887965321733,0.5714696555721759,0.0340998626555485,-0.011354180056708095,0.0795539053678051,0.14999532536025492,0.11507863141027713,0.1849120193102327,0.9057904761904761,0.8933836975785844,0.9181972548023679,0.9043923644574409,0.892023361841774,0.9167613670731077,0.8326349917467186,0.8216086116735889,0.8436613718198483,0.8222078208718374,0.8120653121921497,0.8323503295515251
P7,validation,before,3,1.0,1.0,1.0,0.4117309645826446,0.2814361971260466,0.5420257320392425,0.08035475150584126,0.03324618192513777,0.12746332108654473,0.15801216720209169,0.1349905714650052,0.18103376293917817,0.9057904761904761,0.8933836975785844,0.9181972548023679,0.9043923644574409,0.892023361841774,0.9167613670731077,0.8326349917467186,0.8216086116735889,0.8436613718198483,0.8222078208718374,0.8120653121921497,0.8323503295515251
