test_donor,seed,variant,n_test,n_known_test,n_unknown_test,accuracy,weighted_f1,macro_f1,balanced_accuracy
P1,43,margin_gate_hsr,18135,18135,0,0.9112213950923629,0.9103885162635358,0.8082371266317265,0.8229930596221171
P2,41,rna_branch,17205,17205,0,0.8886370241208951,0.8899440735336133,0.7684731294791896,0.7855046609898271
P2,41,adt_branch,17205,17205,0,0.8510897994768962,0.8471761098688071,0.6508461947232459,0.6683736614506393
P2,41,fusion_branch,17205,17205,0,0.9109561174077303,0.9117383362631782,0.8250708797227905,0.8357673292960519
P2,41,uniform_fusion,17205,17205,0,0.9145597210113339,0.9146061236690025,0.8286658642146818,0.839903076198826
P2,41,margin_gate,17205,17205,0,0.9143853530950306,0.9143632299069989,0.8253805008074494,0.8343778820734766
P2,41,margin_gate_hsr,17205,17205,0,0.9145015983725661,0.9145045541527477,0.82503439522081,0.8335119825368792
P2,42,rna_branch,17205,17205,0,0.8852659110723626,0.8852592041330598,0.7735635821420078,0.7948436996104625
P2,42,adt_branch,17205,17205,0,0.8514385353095031,0.8463580706677976,0.6651062848948874,0.6705679923339803
P2,42,fusion_branch,17205,17205,0,0.9069456553327521,0.9065355669690179,0.8042684132968637,0.8261515166240542
P2,42,uniform_fusion,17205,17205,0,0.9136878814298169,0.9123774957866319,0.8193644533595683,0.8314502805321432
P2,42,margin_gate,17205,17205,0,0.9115954664341761,0.9100842224604184,0.8137772668673348,0.8269947974381262
P2,42,margin_gate_hsr,17205,17205,0,0.9118279569892473,0.9103116021506772,0.8144028425311443,0.8273560895353388
P2,43,rna_branch,17205,17205,0,0.8942167974426039,0.8927985412590029,0.7845865955869873,0.7822473481103173
P2,43,adt_branch,17205,17205,0,0.8625980819529206,0.8584600540619601,0.6967931812331751,0.6924557205668779
P2,43,fusion_branch,17205,17205,0,0.9165358907294391,0.9153267018270986,0.825698090421119,0.817859590432356
P2,43,uniform_fusion,17205,17205,0,0.9199651264167393,0.9186313239684447,0.8296770174779129,0.8198882020719677
P2,43,margin_gate,17205,17205,0,0.9183958151700087,0.9170875940921003,0.8249169656297597,0.8156322926745732
