test_donor,seed,score,score_label,coverage,risk
P3,43,branch_disagreement,Top-label conflict,0.9,0.06790965590419888
P3,43,branch_disagreement,Top-label conflict,0.95,0.07998851152437711
P4,41,final_uncertainty,Final uncertainty,0.5,0.07361029842012873
P4,41,final_uncertainty,Final uncertainty,0.6,0.07411741759313438
P4,41,final_uncertainty,Final uncertainty,0.7,0.07155395803728162
P4,41,final_uncertainty,Final uncertainty,0.8,0.06436512580456408
P4,41,final_uncertainty,Final uncertainty,0.9,0.05792861322410767
P4,41,final_uncertainty,Final uncertainty,0.95,0.06282722513089005
P4,41,combined_logistic_lodo,Combined LODO,0.5,0.018724400234055003
P4,41,combined_logistic_lodo,Combined LODO,0.6,0.016383850204798128
P4,41,combined_logistic_lodo,Combined LODO,0.7,0.0199782663211569
P4,41,combined_logistic_lodo,Combined LODO,0.8,0.0364979520187244
P4,41,combined_logistic_lodo,Combined LODO,0.9,0.055328002080488915
P4,41,combined_logistic_lodo,Combined LODO,0.95,0.06689251616877118
P4,41,branch_disagreement,Top-label conflict,0.5,0.03358689291983616
P4,41,branch_disagreement,Top-label conflict,0.6,0.032962746245367665
P4,41,branch_disagreement,Top-label conflict,0.7,0.033854384351751234
P4,41,branch_disagreement,Top-label conflict,0.8,0.03737565827969573
P4,41,branch_disagreement,Top-label conflict,0.9,0.06124439243222157
P4,41,branch_disagreement,Top-label conflict,0.95,0.07206652294425624
P4,42,final_uncertainty,Final uncertainty,0.5,0.07232299590403744
P4,42,final_uncertainty,Final uncertainty,0.6,0.0714842988102204
P4,42,final_uncertainty,Final uncertainty,0.7,0.07372732592159158
P4,42,final_uncertainty,Final uncertainty,0.8,0.06633996489174956
P4,42,final_uncertainty,Final uncertainty,0.9,0.06091931603926923
P4,42,final_uncertainty,Final uncertainty,0.95,0.0689867570064675
P4,42,combined_logistic_lodo,Combined LODO,0.5,0.014394382679929783
P4,42,combined_logistic_lodo,Combined LODO,0.6,0.01306807099668422
P4,42,combined_logistic_lodo,Combined LODO,0.7,0.02031263061105074
P4,42,combined_logistic_lodo,Combined LODO,0.8,0.03620538326506729
P4,42,combined_logistic_lodo,Combined LODO,0.9,0.05922891879591704
P4,42,combined_logistic_lodo,Combined LODO,0.95,0.07157376039421004
P4,42,branch_disagreement,Top-label conflict,0.5,0.03159742539496782
P4,42,branch_disagreement,Top-label conflict,0.6,0.03179247123073922
P4,42,branch_disagreement,Top-label conflict,0.7,0.03168101646744128
P4,42,branch_disagreement,Top-label conflict,0.8,0.03788765359859567
P4,42,branch_disagreement,Top-label conflict,0.9,0.06586047721214486
P4,42,branch_disagreement,Top-label conflict,0.95,0.0777332922697875
P4,43,final_uncertainty,Final uncertainty,0.5,0.04938560561732007
P4,43,final_uncertainty,Final uncertainty,0.6,0.049346596450165786
P4,43,final_uncertainty,Final uncertainty,0.7,0.046894591657610965
P4,43,final_uncertainty,Final uncertainty,0.8,0.044177881802223526
P4,43,final_uncertainty,Final uncertainty,0.9,0.04752616864963266
P4,43,final_uncertainty,Final uncertainty,0.95,0.06356636895595935
P4,43,combined_logistic_lodo,Combined LODO,0.5,0.012638970157987126
P4,43,combined_logistic_lodo,Combined LODO,0.6,0.012677979325141408
P4,43,combined_logistic_lodo,Combined LODO,0.7,0.01964390203126306
P4,43,combined_logistic_lodo,Combined LODO,0.8,0.03408425980105325
P4,43,combined_logistic_lodo,Combined LODO,0.9,0.0528574214940511
P4,43,combined_logistic_lodo,Combined LODO,0.95,0.0660917770249461
P4,43,branch_disagreement,Top-label conflict,0.5,0.032533645406670565
P4,43,branch_disagreement,Top-label conflict,0.6,0.03237760873805344
P4,43,branch_disagreement,Top-label conflict,0.7,0.03260051826464933
P4,43,branch_disagreement,Top-label conflict,0.8,0.03708308952603862
P4,43,branch_disagreement,Top-label conflict,0.9,0.062089591053897664
P4,43,branch_disagreement,Top-label conflict,0.95,0.07280566676932552
P5,41,final_uncertainty,Final uncertainty,0.5,0.03108665749656121
P5,41,final_uncertainty,Final uncertainty,0.6,0.03087268836924958
P5,41,final_uncertainty,Final uncertainty,0.7,0.03098185629134735
P5,41,final_uncertainty,Final uncertainty,0.8,0.03261118752865658
P5,41,final_uncertainty,Final uncertainty,0.9,0.048346833766366094
P5,41,final_uncertainty,Final uncertainty,0.95,0.06462355212355213
P5,41,combined_logistic_lodo,Combined LODO,0.5,0.006969280146721687
P5,41,combined_logistic_lodo,Combined LODO,0.6,0.009322940547149626
P5,41,combined_logistic_lodo,Combined LODO,0.7,0.01984672823737473
P5,41,combined_logistic_lodo,Combined LODO,0.8,0.036565795506648326
P5,41,combined_logistic_lodo,Combined LODO,0.9,0.05359417188853227
P5,41,combined_logistic_lodo,Combined LODO,0.95,0.06713320463320463
P5,41,branch_disagreement,Top-label conflict,0.5,0.04126547455295736
P5,41,branch_disagreement,Top-label conflict,0.6,0.04118905700748892
P5,41,branch_disagreement,Top-label conflict,0.7,0.03949695421497347
P5,41,branch_disagreement,Top-label conflict,0.8,0.04017652453003209
P5,41,branch_disagreement,Top-label conflict,0.9,0.06352845279942941
P5,41,branch_disagreement,Top-label conflict,0.95,0.07485521235521235
P5,42,final_uncertainty,Final uncertainty,0.5,0.04438331040806969
P5,42,final_uncertainty,Final uncertainty,0.6,0.04951856946354883
P5,42,final_uncertainty,Final uncertainty,0.7,0.04637453330713303
P5,42,final_uncertainty,Final uncertainty,0.8,0.04401650618982118
P5,42,final_uncertainty,Final uncertainty,0.9,0.04635997758418666
P5,42,final_uncertainty,Final uncertainty,0.95,0.062162162162162166
P5,42,combined_logistic_lodo,Combined LODO,0.5,0.01118752865657955
P5,42,combined_logistic_lodo,Combined LODO,0.6,0.011233379183860614
P5,42,combined_logistic_lodo,Combined LODO,0.7,0.01689919434073492
P5,42,combined_logistic_lodo,Combined LODO,0.8,0.03295506648326456
P5,42,combined_logistic_lodo,Combined LODO,0.9,0.052422436191349536
P5,42,combined_logistic_lodo,Combined LODO,0.95,0.06491312741312741
P5,42,branch_disagreement,Top-label conflict,0.5,0.03548830811554333
P5,42,branch_disagreement,Top-label conflict,0.6,0.03545774109735595
P5,42,branch_disagreement,Top-label conflict,0.7,0.03517390449990175
P5,42,branch_disagreement,Top-label conflict,0.8,0.035419532324621736
P5,42,branch_disagreement,Top-label conflict,0.9,0.05919812522288451
P5,42,branch_disagreement,Top-label conflict,0.95,0.07142857142857142
P5,43,final_uncertainty,Final uncertainty,0.5,0.05511233379183861
P5,43,final_uncertainty,Final uncertainty,0.6,0.054180039737123646
P5,43,final_uncertainty,Final uncertainty,0.7,0.05089408528198074
P5,43,final_uncertainty,Final uncertainty,0.8,0.04865887207702889
P5,43,final_uncertainty,Final uncertainty,0.9,0.05435834734321667
P5,43,final_uncertainty,Final uncertainty,0.95,0.06896718146718146
P5,43,combined_logistic_lodo,Combined LODO,0.5,0.012379642365887207
P5,43,combined_logistic_lodo,Combined LODO,0.6,0.012532477456824087
P5,43,combined_logistic_lodo,Combined LODO,0.7,0.019912228990633392
P5,43,combined_logistic_lodo,Combined LODO,0.8,0.03622191655204035
P5,43,combined_logistic_lodo,Combined LODO,0.9,0.058841510010698456
P5,43,combined_logistic_lodo,Combined LODO,0.95,0.0719111969111969
P5,43,branch_disagreement,Top-label conflict,0.5,0.04548372306281522
P5,43,branch_disagreement,Top-label conflict,0.6,0.04531560446278465
P5,43,branch_disagreement,Top-label conflict,0.7,0.0443440099561145
P5,43,branch_disagreement,Top-label conflict,0.8,0.0436726272352132
P5,43,branch_disagreement,Top-label conflict,0.9,0.06622853940598095
P5,43,branch_disagreement,Top-label conflict,0.95,0.07828185328185328
P6,41,final_uncertainty,Final uncertainty,0.5,0.05621444412303539
P6,41,final_uncertainty,Final uncertainty,0.6,0.06637203696263559
P6,41,final_uncertainty,Final uncertainty,0.7,0.06364074660789311
