method,class_label,n_observed_donors,mean_f1,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor,worst_donor_f1,total_test_support
inference::rna_branch,gdT_2,8,0.32053756686055157,0.34081206019945076,0.03561155426027279,0.6054635794608303,0.2849260126002788,P1,0.0,769
inference::rna_branch,gdT_3,8,0.8136311972472462,0.08614519830415607,0.7416120091847721,0.8856503853097203,0.0720191880624741,P3,0.6103896103896104,724
inference::rna_branch,gdT_4,8,0.49631305408895726,0.13280695873598938,0.3852836580750066,0.6073424501029079,0.11102939601395066,P3,0.3139329805996472,523
inference::rna_branch,pDC,8,0.9942533095825368,0.0050033851408296005,0.9900703749268625,0.9984362442382111,0.004182934655674371,P1,0.9856071964017991,861
inference::uniform_fusion,ASDC_mDC,8,0.7635172425613601,0.24112259790844098,0.5619337060818517,0.9651007790408686,0.20158353647950847,P8,0.2222222222222222,40
inference::uniform_fusion,ASDC_pDC,8,0.8053950746965453,0.115743414977499,0.7086311582583226,0.9021589911347679,0.09676391643822269,P3,0.6666666666666666,36
inference::uniform_fusion,B intermediate kappa,8,0.8487605256246711,0.02873710718685596,0.8247357027952621,0.8727853484540801,0.02402482282940901,P7,0.7943909227146221,1100
inference::uniform_fusion,B intermediate lambda,8,0.8301583880713268,0.03780569980261252,0.7985520320872762,0.8617647440553774,0.03160635598405063,P1,0.7483545039888059,1331
inference::uniform_fusion,B memory kappa,8,0.9026537314823146,0.0218281621642679,0.8844049312367559,0.9209025317278734,0.01824880024555876,P3,0.8735213572299664,2037
inference::uniform_fusion,B memory lambda,8,0.8697374246877042,0.03768337136445994,0.8382333378372342,0.9012415115381742,0.03150408685046997,P2,0.7893004378255729,1248
inference::uniform_fusion,B naive kappa,8,0.8991385250054835,0.03785748628197211,0.8674888744412415,0.9307881755697256,0.03164965056424212,P8,0.8078007736599105,4852
inference::uniform_fusion,B naive lambda,8,0.8504469735922481,0.02051426416952844,0.8332966195589082,0.8675973276255879,0.01715035403333983,P8,0.8195130819190876,2866
inference::uniform_fusion,CD14 Mono,8,0.9858731507668316,0.005904716500486652,0.9809366842373486,0.9908096172963146,0.004936466529483,P2,0.9736539948017203,42690
inference::uniform_fusion,CD16 Mono,8,0.9419823832803824,0.01514355714979948,0.9293220526783735,0.9546427138823913,0.012660330602008909,P5,0.9185067773453847,6320
inference::uniform_fusion,CD4 CTL,8,0.8639356711837063,0.1883065271638024,0.7065074748341137,1.0213638675332988,0.15742819634959257,P6,0.4481481481481482,1736
inference::uniform_fusion,CD4 Naive,8,0.9677206886360687,0.011453998547229382,0.9581449062166275,0.97729647105551,0.00957578241944125,P1,0.9547634528783503,17479
inference::uniform_fusion,CD4 Proliferating,8,0.7921929185910601,0.10248525219148469,0.7065131036215875,0.8778727335605327,0.08567981496947265,P5,0.6848484848484849,108
inference::uniform_fusion,CD4 TCM_1,8,0.8329829211025089,0.04451729755315574,0.7957655289828235,0.8702003132221944,0.03721739211968548,P6,0.7282238842699843,8141
inference::uniform_fusion,CD4 TCM_2,8,0.734431148078623,0.028415666884026317,0.7106750560673684,0.7581872400898776,0.023756092011254636,P8,0.6855492787827496,593
inference::uniform_fusion,CD4 TCM_3,8,0.8596891564729562,0.024255286067568042,0.8394112298653508,0.8799670830805616,0.02027792660760541,P1,0.8333175767375849,6155
inference::uniform_fusion,CD4 TEM_1,8,0.7794129282204274,0.08961356786320875,0.704494110643356,0.8543317457974988,0.07491881757707147,P4,0.5785295514811931,1706
inference::uniform_fusion,CD4 TEM_2,8,0.6996156232805689,0.07716450114938318,0.6351044859284559,0.7641267606326819,0.06451113735211303,P7,0.5957067965705581,452
inference::uniform_fusion,CD4 TEM_3,8,0.7563583444945405,0.06596876028296987,0.7012070807375882,0.8115096082514929,0.05515126375695238,P2,0.6570870098378189,2044
inference::uniform_fusion,CD4 TEM_4,7,0.41167131464289797,0.15370713742668562,0.26951592224440724,0.5538267070413887,0.14215539239849073,P2,0.16666666666666666,80
inference::uniform_fusion,CD8 Naive,8,0.9797309062502235,0.006700212484358474,0.974129388435315,0.985332424065132,0.005601517814908431,P4,0.9663346985498128,10478
inference::uniform_fusion,CD8 Naive_2,8,0.6318419666811452,0.07305119995235368,0.5707696351858663,0.6929142981764241,0.06107233149527891,P4,0.5485021015611596,290
inference::uniform_fusion,CD8 Proliferating,8,0.6768344601692726,0.14742421089805738,0.5535847355341063,0.800084184804439,0.12324972463516638,P4,0.4000000000000001,91
inference::uniform_fusion,CD8 TCM_1,8,0.6892996268494983,0.04492862703583282,0.6517383546766964,0.7268608990223002,0.03756127217280193,P4,0.6289740216625214,929
inference::uniform_fusion,CD8 TCM_2,8,0.8213215787684723,0.08058948698658479,0.7539470816008786,0.888696075936066,0.06737449716759367,P2,0.6779818257050664,1322
inference::uniform_fusion,CD8 TCM_3,8,0.8466665042530858,0.05861577229608438,0.7976624922881473,0.8956705162180242,0.049004011964938456,P4,0.7564102564102564,632
inference::uniform_fusion,CD8 TEM_1,8,0.8766070061948461,0.030705692837585893,0.8509364045758122,0.90227760781388,0.025670601619033867,P8,0.8443940026218507,2786
inference::uniform_fusion,CD8 TEM_2,8,0.7460550918810844,0.11266456329510656,0.6518651598633026,0.8402450238988662,0.09418993201778184,P7,0.5323550723487265,2435
inference::uniform_fusion,CD8 TEM_3,8,0.6078713879954389,0.07432547455259689,0.5457337362747178,0.6700090397161601,0.062137651720721145,P3,0.48717948717948717,393
inference::uniform_fusion,CD8 TEM_4,8,0.7829516394060525,0.10573724686405418,0.6945530888539531,0.8713501899581519,0.0883985505520994,P5,0.6117742782966314,3504
inference::uniform_fusion,CD8 TEM_5,8,0.5774645545283528,0.35901518596533,0.27732034795249083,0.8776087611042147,0.30014420657586194,P6,0.0,1973
inference::uniform_fusion,CD8 TEM_6,8,0.8630606113035597,0.09364699013156219,0.7847697683252083,0.9413514542819111,0.07829084297835147,P6,0.7085175361037429,636
inference::uniform_fusion,Doublet,8,0.6524005474875859,0.06970454680715617,0.5941260880384408,0.710675006936731,0.05827445944914512,P8,0.5625936787227109,605
inference::uniform_fusion,Eryth,8,0.8514445868315837,0.08651180042024638,0.77911891173022,0.9237702619329475,0.07232567510136381,P7,0.6666666666666666,83
inference::uniform_fusion,HSPC,8,0.9776857508354219,0.025245393213774114,0.956580073939137,0.9987914277317067,0.02110567689628487,P6,0.9333333333333332,329
inference::uniform_fusion,ILC,8,0.9373720729555621,0.04503768634232873,0.8997196249208537,0.9750245209902706,0.037652448034708484,P4,0.8727272727272729,132
inference::uniform_fusion,MAIT,8,0.9617608199541386,0.0283970617941484,0.938020282187267,0.9855013577210103,0.02374053776687173,P1,0.9187910933103084,2784
inference::uniform_fusion,NK Proliferating,8,0.8891778686249803,0.04750202367195796,0.8494651830252562,0.9288905542247043,0.03971268559972411,P7,0.7968466718466717,548
inference::uniform_fusion,NK_1,8,0.6582220624490236,0.2680963611320721,0.43408789558502847,0.8823562293130187,0.22413416686399515,P3,0.25546559201196556,4126
inference::uniform_fusion,NK_2,8,0.909949484080164,0.017214822111724235,0.895557532636174,0.9243414355241539,0.014391951443990013,P7,0.8798542972737486,9418
inference::uniform_fusion,NK_3,8,0.6067447387298159,0.10926914061270251,0.5153934511116007,0.6980960263480311,0.09135128761821523,P3,0.4519094740186322,2152
inference::uniform_fusion,NK_4,8,0.7042745421660159,0.03331489173296011,0.6764225956822935,0.7321264886497384,0.027851946483722502,P2,0.6689321133371199,1477
inference::uniform_fusion,NK_CD56bright,8,0.8844997551753161,0.05003936014881402,0.8426658031962486,0.9263337071543836,0.04183395197906746,P4,0.7754850088183423,943
inference::uniform_fusion,Plasma,8,0.9851380449873477,0.01208480176799342,0.9750348978780462,0.9952411920966492,0.010103147109301484,P2,0.9640036730945821,318
inference::uniform_fusion,Plasmablast,7,0.9675763425125962,0.042140944176243804,0.9286024694985718,1.0065502155266204,0.03897387301402432,P1,0.9079365079365078,48
inference::uniform_fusion,Platelet,8,0.9387301751919528,0.04307259867603988,0.9027205815586936,0.974739768825212,0.03600959363325919,P2,0.8433897527934224,2293
inference::uniform_fusion,Treg Memory,8,0.8182015814234327,0.04082457533026043,0.7840713823390942,0.8523317805077711,0.0341301990843385,P3,0.7473884058026986,1212
inference::uniform_fusion,Treg Naive,8,0.7666939038665822,0.08440174234073161,0.696132281465112,0.8372555262680524,0.07056162240147021,P3,0.638271109001124,1295
inference::uniform_fusion,cDC1,8,0.9782392402399243,0.023391081355520215,0.9586838068519838,0.9977946736278647,0.019555433387940416,P2,0.9333333333333332,151
inference::uniform_fusion,cDC2_1,8,0.7052028933481247,0.05146291525953632,0.6621788195136936,0.7482269671825558,0.043024073834431034,P4,0.6312068600377151,772
inference::uniform_fusion,cDC2_2,8,0.9308626908930002,0.016861233661898206,0.9167663467906386,0.9449590349953618,0.014096344102361654,P4,0.9094062526407001,1729
inference::uniform_fusion,dnT_1,8,0.5615675474013502,0.20590613624688353,0.3894257096494219,0.7337093851532784,0.17214183775192826,P5,0.1111111111111111,189
inference::uniform_fusion,dnT_2,8,0.9244793104317046,0.050815891348981346,0.881996162123159,0.9669624587402502,0.04248314830854565,P5,0.8222222222222223,167
inference::uniform_fusion,gdT_1,8,0.9566890859723524,0.02820600872318897,0.9331082725699049,0.9802698993747998,0.023580813402447387,P1,0.9075252233146971,1633
inference::uniform_fusion,gdT_2,8,0.41680343062118563,0.3852418649468142,0.0947331717173378,0.7388736895250334,0.32207025890384783,P1,0.0,769
inference::uniform_fusion,gdT_3,8,0.9211985330380219,0.015738143035633433,0.9080411161958726,0.9343559498801712,0.013157416842149378,P3,0.8962962962962964,724
inference::uniform_fusion,gdT_4,8,0.7365185677492001,0.07050064434935017,0.6775785540992867,0.7954585813991135,0.05894001364991336,P5,0.6120231394621639,523
inference::uniform_fusion,pDC,8,0.9959152357990269,0.0028669983096620243,0.9935183652304628,0.9983121063675909,0.0023968705685640415,P1,0.9912021942762511,861
mlp,ASDC_mDC,8,0.7784992081187734,0.1721919024529765,0.6345431751683237,0.922455241069223,0.14395603295044962,P4,0.4920634920634921,40
mlp,ASDC_pDC,8,0.8195291679424805,0.11141896387872398,0.7263805830965078,0.9126777527884533,0.09314858484597276,P1,0.6309523809523809,36
mlp,B intermediate kappa,8,0.8415470107851646,0.034953140509775646,0.8123254540495274,0.8707685675208018,0.029221556735637196,P7,0.8020005527466681,1100
mlp,B intermediate lambda,8,0.8293440490224787,0.04624470619063068,0.790682507142016,0.8680055909029414,0.03866154188046266,P1,0.7312819203268641,1331
mlp,B memory kappa,8,0.903297476124705,0.026262141160799793,0.881341776672892,0.925253175576518,0.021955699451813006,P2,0.8627938859004249,2037
mlp,B memory lambda,8,0.8815167757308247,0.02863496904103626,0.8575773425281963,0.905456208933453,0.023939433202628313,P2,0.8224635484137703,1248
mlp,B naive kappa,8,0.902499364952575,0.03731035571424983,0.8713071269896991,0.9336916029154508,0.031192237962875825,P8,0.8129447820892421,4852
mlp,B naive lambda,8,0.8488347379110128,0.02590712700139698,0.8271758377238623,0.8704936380981634,0.021658900187150578,P8,0.8147428423370903,2866
mlp,CD14 Mono,8,0.9868572355780811,0.004329207229737634,0.9832379277608414,0.9904765433953209,0.0036193078172397112,P2,0.9787912391835586,42690
mlp,CD16 Mono,8,0.9445157852076846,0.01435797374363984,0.9325122187687486,0.9565193516466207,0.0120035664389361,P5,0.9216551876779256,6320
mlp,CD4 CTL,8,0.8767059737890373,0.1513079874191771,0.7502093307280804,1.0032026168499941,0.12649664306095687,P6,0.5575757575757575,1736
mlp,CD4 Naive,8,0.9653297998598618,0.011414067972132177,0.9557874002366062,0.9748721994831173,0.009542399623255505,P1,0.9527242767920141,17479
mlp,CD4 Proliferating,8,0.7234117708417992,0.13176021751147787,0.6132574723908569,0.8335660692927415,0.11015429845094231,P8,0.4966329966329966,108
mlp,CD4 TCM_1,8,0.8251535764094542,0.03845622655297727,0.7930033664521529,0.8573037863667555,0.03215020995730137,P6,0.7453629679918592,8141
mlp,CD4 TCM_2,8,0.7222455639527805,0.05194334543795331,0.6788198404379095,0.7656712874676515,0.04342572351487099,P8,0.6128905867371927,593
mlp,CD4 TCM_3,8,0.8519090826752131,0.023595312355832742,0.8321829078982081,0.8716352574522181,0.019726174777004994,P3,0.8286715611857732,6155
mlp,CD4 TEM_1,8,0.7638672125114057,0.13362106002883317,0.6521572107844794,0.8755772142383319,0.11171000172692622,P4,0.4531927638371527,1706
mlp,CD4 TEM_2,8,0.6820270074840955,0.08364752707805936,0.6120959248214765,0.7519580901467146,0.06993108266261909,P8,0.5700720271888154,452
mlp,CD4 TEM_3,8,0.7516984368977964,0.054480544085911076,0.7061515622314246,0.7972453115641681,0.04554687466637179,P4,0.6920771068078321,2044
mlp,CD4 TEM_4,7,0.05162853019995876,0.037771598886122776,0.016695627596549967,0.08656143280336755,0.03493290260340879,P2,0.0,80
