test_donor,seed,score,metric,value
P7,42,branch_disagreement,risk_at_coverage_0_90,0.05905596357857664
P7,42,vote_entropy,auroc,0.7384973112103281
P7,42,vote_entropy,auprc,0.21423371845953557
P7,42,vote_entropy,risk_at_coverage_0_90,0.05905596357857664
P7,42,top_probability_variance,auroc,0.7457998455557968
P7,42,top_probability_variance,auprc,0.15516986637770014
P7,42,top_probability_variance,risk_at_coverage_0_90,0.07249924837864537
P7,42,margin_variance,auroc,0.7355693214674056
P7,42,margin_variance,auprc,0.13978417645821944
P7,42,margin_variance,risk_at_coverage_0_90,0.0776961731735601
P7,43,final_uncertainty,auroc,0.7261493535854634
P7,43,final_uncertainty,auprc,0.323965085716149
P7,43,final_uncertainty,risk_at_coverage_0_90,0.04647167461237813
P7,43,branch_disagreement,auroc,0.7494303537777186
P7,43,branch_disagreement,auprc,0.22713456480898717
P7,43,branch_disagreement,risk_at_coverage_0_90,0.05905596357857664
P7,43,vote_entropy,auroc,0.7494303537777186
P7,43,vote_entropy,auprc,0.22713456480898717
P7,43,vote_entropy,risk_at_coverage_0_90,0.05905596357857664
P7,43,top_probability_variance,auroc,0.6794927792631311
P7,43,top_probability_variance,auprc,0.12547598100663182
P7,43,top_probability_variance,risk_at_coverage_0_90,0.07885581754928489
P7,43,margin_variance,auroc,0.6676602502179784
P7,43,margin_variance,auprc,0.11544767663016268
P7,43,margin_variance,risk_at_coverage_0_90,0.0826353992183138
P8,41,final_uncertainty,auroc,0.6903763512215662
P8,41,final_uncertainty,auprc,0.3174364951612073
P8,41,final_uncertainty,risk_at_coverage_0_90,0.05591534391534392
P8,41,branch_disagreement,auroc,0.7763409764871624
P8,41,branch_disagreement,auprc,0.26907667113352524
P8,41,branch_disagreement,risk_at_coverage_0_90,0.06383068783068784
P8,41,vote_entropy,auroc,0.7763409764871624
P8,41,vote_entropy,auprc,0.26907667113352524
P8,41,vote_entropy,risk_at_coverage_0_90,0.06383068783068784
P8,41,top_probability_variance,auroc,0.700214402475028
P8,41,top_probability_variance,auprc,0.15143542583360603
P8,41,top_probability_variance,risk_at_coverage_0_90,0.084994708994709
P8,41,margin_variance,auroc,0.6975893048314983
P8,41,margin_variance,auprc,0.14146018417521478
P8,41,margin_variance,risk_at_coverage_0_90,0.08846560846560847
P8,42,final_uncertainty,auroc,0.6301531710511968
P8,42,final_uncertainty,auprc,0.27070679018989563
P8,42,final_uncertainty,risk_at_coverage_0_90,0.06133333333333333
P8,42,branch_disagreement,auroc,0.7671133262796206
P8,42,branch_disagreement,auprc,0.25539109310219216
P8,42,branch_disagreement,risk_at_coverage_0_90,0.062391534391534394
P8,42,vote_entropy,auroc,0.7671133262796206
P8,42,vote_entropy,auprc,0.25539109310219216
P8,42,vote_entropy,risk_at_coverage_0_90,0.062391534391534394
P8,42,top_probability_variance,auroc,0.7540790426030318
P8,42,top_probability_variance,auprc,0.1762169580814696
P8,42,top_probability_variance,risk_at_coverage_0_90,0.07817989417989418
P8,42,margin_variance,auroc,0.7488997206323385
P8,42,margin_variance,auprc,0.1620181560163877
P8,42,margin_variance,risk_at_coverage_0_90,0.08122751322751323
P8,43,final_uncertainty,auroc,0.6224468113502375
P8,43,final_uncertainty,auprc,0.27208397412545976
P8,43,final_uncertainty,risk_at_coverage_0_90,0.06213756613756614
P8,43,branch_disagreement,auroc,0.7684618053838671
P8,43,branch_disagreement,auprc,0.24800438836412786
P8,43,branch_disagreement,risk_at_coverage_0_90,0.06586243386243386
P8,43,vote_entropy,auroc,0.7684618053838671
P8,43,vote_entropy,auprc,0.24800438836412786
P8,43,vote_entropy,risk_at_coverage_0_90,0.06586243386243386
P8,43,top_probability_variance,auroc,0.7434210690983144
P8,43,top_probability_variance,auprc,0.17166932077366
P8,43,top_probability_variance,risk_at_coverage_0_90,0.08084656084656085
P8,43,margin_variance,auroc,0.7363243220063457
P8,43,margin_variance,auprc,0.1562159472562385
P8,43,margin_variance,risk_at_coverage_0_90,0.08613756613756614
