class_label,modality,marker_group,representative_markers,available_panel_markers,n_representative_markers,n_available_panel_markers,top20_attribution_features,top20_marker_hits,top20_marker_fraction,n_correct_attribution_cells,n_checkpoint_runs_with_correct_cells,n_checkpoint_runs,mean_f1,total_test_support,mean_rna_weight,mean_adt_weight,mean_fusion_weight,interpretation,source
CD4 CTL,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,CYTOR;RNASE2;MAT2A;CD8A;KLRB1;GNLY;AC133644.2;IL7R;HK2;CD3G;CLEC4A;MTHFD2;IGKC;GZMA;CCL5;GZMB;SLC7A7;ZNF683;RPL37;CD8B,1,0.25,159,24,24,0.8677111752237148,1736,0.13117633395833334,0.08688625695833334,0.7819374141666667,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 CTL,ADT,cd4,CD3;CD4,CD3;CD4,2,2,CD4-1;CD8a;CD2;CD28;CD55;CD109;CD8;CD27;CD127;CD3-1;CD271;TCR-2;CD195;Integrin-7;CD26-2;CD307e;CD314;CD43;CD3-2;CD31,2,1.0,159,24,24,0.8677111752237148,1736,0.13117633395833334,0.08688625695833334,0.7819374141666667,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 Naive,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,S100A12;IL7R;CYTOR;S100A4;S100A10;PSMB3;PTGIR;SH3BGRL3;CD8B;CCNY;MTHFD2;MAT2A;CAMK4;CD8A;RPS27;IGKC;MANF;TNFAIP8L2;SLC12A7;CD40,1,0.25,192,24,24,0.9672762141868104,17479,0.192282344375,0.11297303520833334,0.6947446258333333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 Naive,ADT,cd4,CD3;CD4;CD45RA;CD27;CD127,CD3;CD4;CD45RA;CD27;CD127,5,5,CD4-1;CD49d;CD25;CD109;Integrin-7;CD27;CD45RB;CD127;CD45RA;CD95;CD18;CD45RO;CD305;CD29;CD3-1;CD43;CD3-2;TCR-2;CD38-2;CD28,5,1.0,192,24,24,0.9672762141868104,17479,0.192282344375,0.11297303520833334,0.6947446258333333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 Proliferating,RNA,none,,,0,0,HAVCR2;CDC6;BAIAP2-DT;SOX4;STMN1;LINC00926;ANXA6;DMXL2;RAB8B;RRBP1;ITK;HIST1H3G;BST1;SLC38A10;CCL3L1;HIST1H1C;MIS18BP1;MARCO;SPC25;PTGDR,0,,167,24,24,0.7647786652378107,108,0.30310514895833335,0.08299691079166667,0.6138979466666666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 Proliferating,ADT,none,,,0,0,CD71;CD278;CD28;CD45RO;CD49d;CD4-1;CD38-1;Integrin-7;CD38-2;CD81;CD25;CD27;CD43;CD2;CD8a;CD103;CD48;CD52;CD95;CD314,0,,167,24,24,0.7647786652378107,108,0.30310514895833335,0.08299691079166667,0.6138979466666666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TCM_1,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,IL7R;SLC12A7;TRIO;TNFRSF18;TACC1;ITM2B;LPAR6;PARP8;S100A12;CLEC4A;MAT2A;HLA-E;C3AR1;RHOBTB1;ACSL1;IGKC;S100A4;RPL37;PTGIR;AC133644.2,1,0.25,192,24,24,0.830293514611503,8141,0.2027197066666667,0.08030528004166666,0.7169750179166666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TCM_1,ADT,cd4,CD3;CD4;CD45RO;CD27;CD127,CD3;CD4;CD45RO;CD27;CD127,5,5,CD26-2;CD278;CD127;Integrin-7;CD4-1;CD27;CD49d;CD2;CD28;CD45RA;CD25;CD45RO;CD305;CD109;CD31;CD38-1;CD102;CD38-2;CD3-1;CD55,5,1.0,192,24,24,0.830293514611503,8141,0.2027197066666667,0.08030528004166666,0.7169750179166666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TCM_2,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,LRRC36;SPATS2L;GZMK;C3AR1;MS4A4A;CKAP2L;MLLT6;SYNGR2;IL7R;RNF149;MIR4435-2HG;AFF3;EHBP1L1;ZAP70;ITM2B;SSFA2;VAMP8;SH3GLB1;CD6;RNF181,1,0.25,192,24,24,0.7274498586634726,593,0.24737249583333334,0.08623731424999999,0.6663901879166667,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TCM_2,ADT,cd4,CD3;CD4;CD45RO;CD27;CD127,CD3;CD4;CD45RO;CD27;CD127,5,5,CD278;CD28;CD4-1;CD45RO;Integrin-7;CD71;CD25;CD38-1;CD27;CD127;CD38-2;CD81;CD48;CD109;CD279;CD26-2;CD95;CD2;CD45RA;CD49d,4,0.8,192,24,24,0.7274498586634726,593,0.24737249583333334,0.08623731424999999,0.6663901879166667,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TCM_3,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,GZMK;TNFRSF18;IL7R;PARP8;TRIO;OTULINL;ZEB1;CENPU;ACSL1;RPL37;HSPA1A;PIP4K2A;ISG15;CLEC4A;TUBB;ENKUR;HIST1H1B;LTB;CCL4L2;PTPN6,2,0.5,192,24,24,0.8571063171243272,6155,0.16398373395833335,0.08161039741666666,0.7544058620833333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TCM_3,ADT,cd4,CD3;CD4;CD45RO;CD27;CD127,CD3;CD4;CD45RO;CD27;CD127,5,5,CD26-2;CD127;CD2;Integrin-7;CD25;CD4-1;CD28;CD278;CD102;CD49d;CD27;CD305;CD196;CD73;CD109;CD31;CD81;CD45-2;CD45RO;CD38-1,4,0.8,192,24,24,0.8571063171243272,6155,0.16398373395833335,0.08161039741666666,0.7544058620833333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TEM_1,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,GZMK;DEPDC1B;IL7R;RPL37;OTULINL;BASP1;DAB2;GZMA;ELOVL7;CLEC4A;COX5B;NCAPH;MAT2A;PARP8;FYB1;RNF181;MAL;SUB1;SLFN11;CCL4L2,1,0.25,192,24,24,0.7760589572521934,1706,0.182051443375,0.083176765,0.7347717954166667,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TEM_1,ADT,cd4,CD3;CD4;CD45RO;CD95;CD57,CD3;CD4;CD45RO;CD95;CD57,5,5,CD26-2;CD195;CD4-1;CD81;Integrin-7;CD2;CD25;CD127;CD28;CD27;CD55;CD3-1;CD109;CD279;CD45RO;CD52;CD278;CD305;CD48;CD18,3,0.6,192,24,24,0.7760589572521934,1706,0.182051443375,0.083176765,0.7347717954166667,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
