reference,comparator,metric,n_donors,mean_difference,difference_ci95_low,difference_ci95_high,difference_ci95_margin,paired_t_pvalue,wilcoxon_pvalue,positive_donor_count,negative_donor_count,zero_donor_count
inference::margin_gate_hsr,inference::adt_branch,balanced_accuracy,8,0.12089979885181351,0.10329670642285843,0.1385028912807686,0.017603092428955084,8.16926508822891e-07,0.0078125,8,0,0
inference::margin_gate_hsr,inference::fusion_branch,accuracy,8,0.0019412365348102922,0.0011746868062492374,0.002707786263371347,0.0007665497285610547,0.0005486515122513825,0.0078125,8,0,0
inference::margin_gate_hsr,inference::fusion_branch,weighted_f1,8,0.0015337452538360663,0.0008262230030371681,0.0022412675046349644,0.0007075222507988982,0.001359726005537498,0.0078125,8,0,0
inference::margin_gate_hsr,inference::fusion_branch,macro_f1,8,0.0013402212641665384,-0.002991570610664642,0.005672013138997719,0.00433179187483118,0.48817810999763256,0.25,6,2,0
inference::margin_gate_hsr,inference::fusion_branch,balanced_accuracy,8,-0.0033551222200984693,-0.007526877302760457,0.0008166328625635183,0.004171755082661988,0.09895215129388414,0.0234375,1,7,0
inference::margin_gate_hsr,inference::margin_gate,accuracy,8,2.3260717200379588e-05,-0.00011252659011269189,0.00015904802451345107,0.00013578730731307148,0.6975219573644211,0.3828125,5,3,0
inference::margin_gate_hsr,inference::margin_gate,weighted_f1,8,3.0026881590150545e-05,-9.863273250858501e-05,0.0001586864956888861,0.00012865961409873556,0.5982114992893639,0.4609375,5,3,0
inference::margin_gate_hsr,inference::margin_gate,macro_f1,8,-0.00048043323014235195,-0.0019198935402254078,0.0009590270799407039,0.0014394603100830558,0.45588117478912793,0.84375,3,5,0
inference::margin_gate_hsr,inference::margin_gate,balanced_accuracy,8,-0.0011440279086097488,-0.0026788560952621283,0.000390800278042631,0.0015348281866523798,0.1213514080353435,0.078125,2,6,0
inference::margin_gate_hsr,inference::rna_branch,accuracy,8,0.022530510871581186,0.019145807654895288,0.025915214088267084,0.0033847032166858964,1.011652543910127e-06,0.0078125,8,0,0
inference::margin_gate_hsr,inference::rna_branch,weighted_f1,8,0.022512792828081496,0.01892118062411454,0.02610440503204845,0.0035916122039669567,1.5242872926641135e-06,0.0078125,8,0,0
inference::margin_gate_hsr,inference::rna_branch,macro_f1,8,0.050823866515174884,0.046455998218199034,0.055191734812150735,0.004367868296975849,2.149888832911578e-08,0.0078125,8,0,0
inference::margin_gate_hsr,inference::rna_branch,balanced_accuracy,8,0.043253617817188006,0.036821784421612984,0.04968545121276303,0.006431833395575025,9.434578129887136e-07,0.0078125,8,0,0
inference::margin_gate_hsr,inference::uniform_fusion,accuracy,8,-0.0010614690997621662,-0.0013148676170362022,-0.0008080705824881301,0.00025339851727403605,2.2779158670131335e-05,0.0078125,0,8,0
inference::margin_gate_hsr,inference::uniform_fusion,weighted_f1,8,-0.0010753213230927788,-0.0013357662332640794,-0.0008148764129214781,0.0002604449101713007,2.505314348600909e-05,0.0078125,0,8,0
inference::margin_gate_hsr,inference::uniform_fusion,macro_f1,8,-0.004174611378056026,-0.007056326657570394,-0.0012928960985416579,0.002881715279514368,0.0110521561528093,0.0078125,0,8,0
inference::margin_gate_hsr,inference::uniform_fusion,balanced_accuracy,8,-0.0044170596514819666,-0.007276787030077451,-0.0015573322728864823,0.0028597273785954842,0.008152648632293555,0.0078125,0,8,0
