test_donor,seed,branch,weight_mean,weight_median,weight_iqr_low,weight_iqr_high,weight_gt_0p9,weight_entropy_mean
P2,43,RNA,0.12544330954551697,0.11980648338794708,0.03859499469399452,0.18045584857463837,0.0001743679163034002,0.4898397624492645
P2,43,ADT,0.05310233309864998,0.03222570940852165,0.005807217676192522,0.07342533022165298,0.00023249055507120023,0.4898397624492645
P2,43,Fusion,0.8214544057846069,0.8235766291618347,0.7537111639976501,0.9254893064498901,0.3063644289450741,0.4898397624492645
P3,41,RNA,0.24364382028579712,0.2074841782450676,0.11381094343960285,0.3359815627336502,0.0006821282401091405,0.7405486702919006
P3,41,ADT,0.12292446941137314,0.0783328153192997,0.024670965038239956,0.1888035573065281,6.821282401091406e-05,0.7405486702919006
P3,41,Fusion,0.6334317326545715,0.6514479219913483,0.5072121918201447,0.7888502031564713,0.0655525238744884,0.7405486702919006
P3,42,RNA,0.12155621498823166,0.1164320632815361,0.03989372681826353,0.16618050634860992,0.00013642564802182812,0.46102961897850037
P3,42,ADT,0.04250628873705864,0.022328916937112808,0.004213510430417955,0.06021719053387642,6.821282401091406e-05,0.46102961897850037
P3,42,Fusion,0.8359375,0.8369435667991638,0.7791041284799576,0.9324576258659363,0.32312414733969985,0.46102961897850037
P3,43,RNA,0.1518508791923523,0.15270547568798065,0.04959003906697035,0.21719815954566002,0.00013642564802182812,0.5432959794998169
P3,43,ADT,0.06041596829891205,0.02922128327190876,0.006075954879634082,0.09243913926184177,0.00013642564802182812,0.5432959794998169
P3,43,Fusion,0.7877331376075745,0.7827515602111816,0.6954003721475601,0.9156825989484787,0.2800818553888131,0.5432959794998169
P4,41,RNA,0.10151515901088715,0.10068177431821823,0.038337480276823044,0.13419125229120255,0.00011702750146284377,0.41485148668289185
P4,41,ADT,0.036503877490758896,0.022991225123405457,0.0033855761867016554,0.047947351820766926,0.00011702750146284377,0.41485148668289185
P4,41,Fusion,0.8619809746742249,0.8617255389690399,0.8219532817602158,0.9371799975633621,0.3449970743124634,0.41485148668289185
P4,42,RNA,0.16679295897483826,0.1659647673368454,0.05941499397158623,0.23246997594833374,5.8513750731421886e-05,0.556816041469574
P4,42,ADT,0.05833716690540314,0.03337407112121582,0.006068776245228946,0.0863159541040659,0.00017554125219426564,0.556816041469574
P4,42,Fusion,0.7748698592185974,0.7681235671043396,0.6910874247550964,0.9031383842229843,0.2559391456992393,0.556816041469574
P4,43,RNA,0.23487605154514313,0.20714088529348373,0.09529827535152435,0.32612771540880203,0.0026916325336454067,0.6931860446929932
P4,43,ADT,0.10223356634378433,0.0659889243543148,0.01754628401249647,0.15509670972824097,0.00017554125219426564,0.6931860446929932
P4,43,Fusion,0.6628903746604919,0.6721901297569275,0.5310797244310379,0.832058772444725,0.1393212404915155,0.6931860446929932
P5,41,RNA,0.31226569414138794,0.29458579421043396,0.177562914788723,0.41612643003463745,0.0027967539315024528,0.8243178129196167
P5,41,ADT,0.14189276099205017,0.10734506696462631,0.03858865424990654,0.20750229805707932,0.0004126358259593783,0.8243178129196167
P5,41,Fusion,0.5458415150642395,0.5410723090171814,0.4205986559391022,0.6803456842899323,0.026500389711613406,0.8243178129196167
P5,42,RNA,0.2349107712507248,0.21148216724395752,0.11262757703661919,0.3184390217065811,0.001008665352345147,0.7335566282272339
P5,42,ADT,0.11885878443717957,0.08314365893602371,0.020662734284996986,0.18460533022880554,0.00027509055063958555,0.7335566282272339
P5,42,Fusion,0.6462303996086121,0.6514728665351868,0.527160108089447,0.7944987714290619,0.09036724588510385,0.7335566282272339
P5,43,RNA,0.2772679626941681,0.24273955821990967,0.1377837359905243,0.37962038815021515,0.0014671496034111228,0.8051235675811768
P5,43,ADT,0.1534959226846695,0.11234690994024277,0.03700217604637146,0.23556514829397202,0.0003209389757461831,0.8051235675811768
P5,43,Fusion,0.5692360997200012,0.5659740567207336,0.4276844412088394,0.7231823801994324,0.038466828664435376,0.8051235675811768
P6,41,RNA,0.2364243119955063,0.21530845761299133,0.09482774138450623,0.3365776687860489,0.0005785363031530228,0.6834824085235596
P6,41,ADT,0.09455811232328415,0.055522190406918526,0.009646670194342732,0.14868488907814026,0.0002410567929804262,0.6834824085235596
P6,41,Fusion,0.6690175533294678,0.6668201386928558,0.5343285501003265,0.8359866142272949,0.14873204126892295,0.6834824085235596
P6,42,RNA,0.18991471827030182,0.1846119910478592,0.07843846641480923,0.26010817289352417,9.642271719217047e-05,0.6090595722198486
P6,42,ADT,0.0696263387799263,0.04126634821295738,0.005192151525989175,0.10793768242001534,0.0001446340757882557,0.6090595722198486
P6,42,Fusion,0.7404589653015137,0.7305428385734558,0.6450631022453308,0.8752298653125763,0.21212997782277504,0.6090595722198486
P6,43,RNA,0.18686378002166748,0.18761590123176575,0.07374953851103783,0.2632511109113693,0.00019284543438434094,0.6047852039337158
P6,43,ADT,0.06821378320455551,0.03884321078658104,0.005104461801238358,0.11057970859110355,0.0002410567929804262,0.6047852039337158
P6,43,Fusion,0.7449224591255188,0.7313896715641022,0.6422998458147049,0.8806111067533493,0.22220615176935685,0.6047852039337158
P7,41,RNA,0.2693099081516266,0.21362732350826263,0.11277952790260315,0.38318826258182526,0.003208225426152835,0.8155810832977295
P7,41,ADT,0.16883395612239838,0.1348705291748047,0.051036685705184937,0.2573118507862091,0.00015461327354953424,0.8155810832977295
P7,41,Fusion,0.5618560910224915,0.583357572555542,0.43963444232940674,0.6991512179374695,0.01631170035947586,0.8155810832977295
P7,42,RNA,0.1650925874710083,0.15829063951969147,0.05857739597558975,0.2409202605485916,0.0003865331838738356,0.5804188847541809
P7,42,ADT,0.06793824583292007,0.05124986544251442,0.007937149610370398,0.09730339422821999,0.0003092265470990685,0.5804188847541809
P7,42,Fusion,0.7669692039489746,0.7614705562591553,0.6728781461715698,0.8927578628063202,0.2374086815353098,0.5804188847541809
P7,43,RNA,0.22815553843975067,0.17663593590259552,0.09325910359621048,0.31272806227207184,0.0023965057400177807,0.7691006064414978
P7,43,ADT,0.1613968312740326,0.12648065388202667,0.0370139479637146,0.2597864866256714,0.0003865331838738356,0.7691006064414978
P7,43,Fusion,0.6104476451873779,0.6169484257698059,0.4967600405216217,0.7517752349376678,0.054578485562985585,0.7691006064414978
P8,41,RNA,0.2098468542098999,0.18513739854097366,0.07095325365662575,0.32133814692497253,0.0004952380952380952,0.649246335029602
P8,41,ADT,0.08921641856431961,0.05486202985048294,0.011141584487631917,0.13268207758665085,0.00022857142857142857,0.649246335029602
P8,41,Fusion,0.7009367346763611,0.706268846988678,0.5526354610919952,0.876172348856926,0.20685714285714285,0.649246335029602
P8,42,RNA,0.16504967212677002,0.16296492516994476,0.05374711658805609,0.23692261800169945,0.00011428571428571428,0.5880310535430908
