test_donor,seed,method,accuracy,weighted_f1,macro_f1,balanced_accuracy
P4,41,uniform_fusion,0.916500877706261,0.9167367148497664,0.7805760314209597,0.7677355671162304
P4,41,train_scaled_margin_gate,0.9093622001170275,0.9114267309845678,0.7728509214392816,0.7642414761223906
P4,41,train_scaled_margin_gate_hsr,0.9094207138677589,0.9114842474102078,0.774756674672595,0.764711191751386
P4,42,raw_margin_gate,0.9088355763604447,0.9106628554723593,0.7712516418122352,0.7710451010827174
P4,42,uniform_fusion,0.911234640140433,0.9131510033016909,0.7764578831377146,0.7743395402545354
P4,42,train_scaled_margin_gate,0.905675833820948,0.9095220234047258,0.7747828766853292,0.7768570195285541
P4,42,train_scaled_margin_gate_hsr,0.9055002925687536,0.9093211352607531,0.7762605023437346,0.776782790878787
P4,43,raw_margin_gate,0.914569923932124,0.9164281504633269,0.7844787475558672,0.7866795505658564
P4,43,uniform_fusion,0.914569923932124,0.9166391168818532,0.7837719467645088,0.7856356639628539
P4,43,train_scaled_margin_gate,0.9118197776477472,0.9144451238033059,0.7786260725121253,0.7836391332319157
P4,43,train_scaled_margin_gate_hsr,0.9109420713867759,0.9136609384144999,0.778572573903701,0.7834518697431212
P5,41,raw_margin_gate,0.914767777726835,0.9150129377327553,0.8339948663508016,0.8429709846399535
P5,41,uniform_fusion,0.915455504103434,0.9157450267431605,0.8375093876551596,0.8449815371812059
P5,41,train_scaled_margin_gate,0.9132089312732108,0.9129726257201598,0.8289719319804753,0.8372404275703972
P5,41,train_scaled_margin_gate_hsr,0.9133923249736372,0.9131850348280652,0.8307228700429813,0.838865821277203
P5,42,raw_margin_gate,0.9171518958323781,0.9178241264867901,0.8353475050450934,0.8442975696848197
P5,42,uniform_fusion,0.9176562285085508,0.9184344545086094,0.8363606776634518,0.8495516549865895
P5,42,train_scaled_margin_gate,0.9171518958323781,0.9176129178254324,0.8403808611591558,0.8462523774808729
P5,42,train_scaled_margin_gate_hsr,0.9168768052817385,0.9173413484859887,0.8393336832861459,0.8449179169339726
P5,43,raw_margin_gate,0.9088074824629774,0.9076231994453161,0.8248386583229359,0.8387981298360995
P5,43,uniform_fusion,0.9098619962404292,0.9088590783859992,0.8254909734080872,0.8387635755809576
P5,43,train_scaled_margin_gate,0.9089908761634038,0.9077893270583361,0.8178501292091691,0.8324344647918751
P5,43,train_scaled_margin_gate_hsr,0.9087616340378708,0.9075527056867343,0.8175495243787028,0.8316070912216703
P6,41,raw_margin_gate,0.908350207308842,0.9054962052373082,0.7985901196858645,0.7998579448197257
P6,41,uniform_fusion,0.9097965480667245,0.9070070740100246,0.8021116628666488,0.8030653689409509
P6,41,train_scaled_margin_gate,0.9098929707839167,0.9073116992015148,0.8040015982935873,0.8001222773995167
P6,41,train_scaled_margin_gate_hsr,0.9092662231221675,0.9065862068250977,0.8010478334637116,0.7942433700279373
P6,42,raw_margin_gate,0.907241346061132,0.905142110886489,0.7983596316437146,0.7901173717078942
P6,42,uniform_fusion,0.9076752482884968,0.9054260699181322,0.8002203368339538,0.7932531077195065
P6,42,train_scaled_margin_gate,0.9075788255713046,0.9055198269559631,0.806739346989951,0.8047923048260834
P6,42,train_scaled_margin_gate_hsr,0.9073859801369203,0.9052626660396609,0.8070097825376321,0.8044762702469923
P6,43,raw_margin_gate,0.910037604859705,0.906261918090605,0.7896605052947185,0.7858939494013018
P6,43,uniform_fusion,0.9111464661074149,0.907508306529976,0.805425441444404,0.7984274751803373
P6,43,train_scaled_margin_gate,0.9106643525214541,0.9072025517643333,0.8068878579629465,0.8097768061244275
P6,43,train_scaled_margin_gate_hsr,0.9103750843698776,0.9068579907014166,0.7993351875417658,0.7964682661970459
P7,41,raw_margin_gate,0.9198330176645665,0.9189639569328748,0.8048127501111954,0.802998688255236
P7,41,uniform_fusion,0.9206060840323141,0.9198103572242814,0.8130186587387194,0.8108973389355634
P7,41,train_scaled_margin_gate,0.9194078311623053,0.9184005273241832,0.8011372898960856,0.7975693335022588
P7,41,train_scaled_margin_gate_hsr,0.9191372579335936,0.918105721665376,0.7986901887330664,0.795484023022729
