test_donor,seed,scenario,mask_fraction,n_masked_proteins,mask_seed,mask_source,n_test,accuracy,weighted_f1,macro_f1,balanced_accuracy,ece,brier,full_accuracy,delta_accuracy,full_weighted_f1,delta_weighted_f1,full_macro_f1,delta_macro_f1,full_balanced_accuracy,delta_balanced_accuracy,full_ece,delta_ece,full_brier,delta_brier
P2,42,marker_tcell,,15,,legacy_v33_deterministic_feature_mask,17205,0.8990990990990991,0.8990801942177752,0.8045651727340689,0.8261605865050583,0.06749419104529825,0.16570772230625153,0.9118279569892473,-0.012728857890148215,0.9103116021506772,-0.011231407932902004,0.8144028425311443,-0.009837669797075344,0.8273560895353388,-0.001195503030280487,0.06067552329608087,0.006818667749217376,0.1426803171634674,0.02302740514278412
P2,42,rna_only,1.0,224,,legacy_v33_deterministic_feature_mask,17205,0.8854984016274339,0.885495070388609,0.7731057921022625,0.7933661619593664,0.1207903153973501,0.1972164511680603,0.9118279569892473,-0.026329555361813473,0.9103116021506772,-0.024816531762068217,0.8144028425311443,-0.041297050428881765,0.8273560895353388,-0.03398992757597241,0.06067552329608087,0.060114792101269236,0.1426803171634674,0.054536134004592896
P2,42,random_size_matched_6,0.026785714285714284,6,822421,random_feature_name_only_size_matched_to_targeted_mask,17205,0.9124091833769253,0.9112938263408603,0.8133022059313952,0.827894359111558,0.061206069205414264,0.1429632008075714,0.9118279569892473,0.0005812263876779911,0.9103116021506772,0.000982224190183123,0.8144028425311443,-0.0011006365997490164,0.8273560895353388,0.0005382695762191636,0.06067552329608087,0.0005305459093333936,0.1426803171634674,0.0002828836441040039
P2,42,random_size_matched_15,0.06696428571428571,15,822422,random_feature_name_only_size_matched_to_targeted_mask,17205,0.9052019761697181,0.903368678127839,0.8100187887970672,0.8205962078191933,0.06173859329954268,0.15290851891040802,0.9118279569892473,-0.0066259808195292536,0.9103116021506772,-0.006942924022838137,0.8144028425311443,-0.00438405373407702,0.8273560895353388,-0.006759881716145499,0.06067552329608087,0.0010630700034618065,0.1426803171634674,0.010228201746940613
P2,43,full,0.0,0,,legacy_v33_deterministic_feature_mask,17205,0.9183376925312409,0.9169782774928307,0.8245633984035485,0.8146496865787837,0.06324551538373452,0.14490097761154175,0.9183376925312409,0.0,0.9169782774928307,0.0,0.8245633984035485,0.0,0.8146496865787837,0.0,0.06324551538373452,0.0,0.14490097761154175,0.0
P2,43,random_10,0.1,22,332431,legacy_v33_deterministic_feature_mask,17205,0.9150247021214764,0.9138582017534318,0.8170176422429715,0.8080754023344529,0.06462842186231386,0.1492348313331604,0.9183376925312409,-0.0033129904097645158,0.9169782774928307,-0.0031200757393988754,0.8245633984035485,-0.007545756160577066,0.8146496865787837,-0.006574284244330819,0.06324551538373452,0.001382906478579346,0.14490097761154175,0.004333853721618652
P2,43,random_30,0.3,67,332433,legacy_v33_deterministic_feature_mask,17205,0.9100842778262133,0.9090083208620227,0.8092357843955114,0.8034753934062365,0.06168374932806564,0.15502004325389862,0.9183376925312409,-0.008253414705027606,0.9169782774928307,-0.007969956630808017,0.8245633984035485,-0.015327614008037171,0.8146496865787837,-0.011174293172547145,0.06324551538373452,-0.0015617660556688784,0.14490097761154175,0.010119065642356873
P2,43,random_50,0.5,112,332435,legacy_v33_deterministic_feature_mask,17205,0.9034001743679163,0.9016074410642358,0.7918897373958709,0.7818657072549103,0.05471707853691346,0.16637617349624634,0.9183376925312409,-0.014937518163324559,0.9169782774928307,-0.015370836428594825,0.8245633984035485,-0.03267366100767766,0.8146496865787837,-0.032783979323873336,0.06324551538373452,-0.008528436846821058,0.14490097761154175,0.02147519588470459
P2,43,random_70,0.7,157,332437,legacy_v33_deterministic_feature_mask,17205,0.8972972972972973,0.895365855388849,0.7863182308482737,0.7773697958052748,0.05905317133576747,0.17666152119636536,0.9183376925312409,-0.02104039523394352,0.9169782774928307,-0.02161242210398162,0.8245633984035485,-0.03824516755527485,0.8146496865787837,-0.037279890773508906,0.06324551538373452,-0.004192344047967048,0.14490097761154175,0.03176054358482361
P2,43,marker_memory,,6,,legacy_v33_deterministic_feature_mask,17205,0.9139203719848881,0.912130091448361,0.8189127411457418,0.8091470481376528,0.064868596217827,0.15160982310771942,0.9183376925312409,-0.004417320546352799,0.9169782774928307,-0.004848186044469682,0.8245633984035485,-0.005650657257806779,0.8146496865787837,-0.005502638441130858,0.06324551538373452,0.0016230808340924746,0.14490097761154175,0.006708845496177673
P2,43,marker_tcell,,15,,legacy_v33_deterministic_feature_mask,17205,0.9092124382446963,0.9084199051966555,0.8066179509286018,0.8029994667278118,0.062116692208925045,0.15531976521015167,0.9183376925312409,-0.009125254286544537,0.9169782774928307,-0.008558372296175176,0.8245633984035485,-0.017945447474946752,0.8146496865787837,-0.011650219850971921,0.06324551538373452,-0.0011288231748094735,0.14490097761154175,0.010418787598609924
P2,43,rna_only,1.0,224,,legacy_v33_deterministic_feature_mask,17205,0.8931705899447835,0.8916387796412616,0.7831035545064968,0.7794793005454962,0.07547990381457853,0.177116259932518,0.9183376925312409,-0.02516710258645738,0.9169782774928307,-0.02533949785156908,0.8245633984035485,-0.04145984389705171,0.8146496865787837,-0.03517038603328748,0.06324551538373452,0.012234388430844012,0.14490097761154175,0.03221528232097626
P2,43,random_size_matched_6,0.026785714285714284,6,822431,random_feature_name_only_size_matched_to_targeted_mask,17205,0.9182214472537054,0.916891744630328,0.8239693947217418,0.8158669915869862,0.06379729528407724,0.14473332464694977,0.9183376925312409,-0.0001162452775355094,0.9169782774928307,-8.653286250270842e-05,0.8245633984035485,-0.0005940036818067318,0.8146496865787837,0.001217305008202496,0.06324551538373452,0.0005517799003427193,0.14490097761154175,-0.00016765296459197998
P2,43,random_size_matched_15,0.06696428571428571,15,822432,random_feature_name_only_size_matched_to_targeted_mask,17205,0.9161871548968323,0.9151145843028805,0.8201702030585014,0.8132289187456765,0.06494803108714481,0.1468857079744339,0.9183376925312409,-0.0021505376344085336,0.9169782774928307,-0.0018636931899501663,0.8245633984035485,-0.004393195345047118,0.8146496865787837,-0.0014207678331071838,0.06324551538373452,0.00170251570341029,0.14490097761154175,0.001984730362892151
P3,41,full,0.0,0,,legacy_v33_deterministic_feature_mask,14660,0.9038881309686221,0.9006726921511017,0.7985879566133259,0.8158240919186364,0.06777470399299063,0.15684610605239868,0.9038881309686221,0.0,0.9006726921511017,0.0,0.7985879566133259,0.0,0.8158240919186364,0.0,0.06777470399299063,0.0,0.15684610605239868,0.0
P3,41,random_10,0.1,22,333411,legacy_v33_deterministic_feature_mask,14660,0.8923601637107776,0.886567783930457,0.7706925235216121,0.7895526563944286,0.06497694847630119,0.174045592546463,0.9038881309686221,-0.01152796725784444,0.9006726921511017,-0.014104908220644696,0.7985879566133259,-0.027895433091713828,0.8158240919186364,-0.026271435524207742,0.06777470399299063,-0.0027977555166894402,0.15684610605239868,0.01719948649406433
P3,41,random_30,0.3,67,333413,legacy_v33_deterministic_feature_mask,14660,0.8997271487039563,0.8983890847587236,0.7868917814557662,0.8086101661694289,0.08945030928227295,0.16932404041290283,0.9038881309686221,-0.004160982264665769,0.9006726921511017,-0.0022836073923780953,0.7985879566133259,-0.011696175157559718,0.8158240919186364,-0.007213925749207428,0.06777470399299063,0.02167560528928232,0.15684610605239868,0.01247793436050415
P3,41,random_50,0.5,112,333415,legacy_v33_deterministic_feature_mask,14660,0.883356070941337,0.8788455554517586,0.7474931282891737,0.759591755458938,0.07002678794982001,0.19047731161117554,0.9038881309686221,-0.020532060027285137,0.9006726921511017,-0.021827136699343108,0.7985879566133259,-0.05109482832415224,0.8158240919186364,-0.056232336459698384,0.06777470399299063,0.0022520839568293816,0.15684610605239868,0.033631205558776855
