split_column,test_group,n_train,n_test,test_fraction,label_column,n_test_labels,status,labels_absent_from_test,labels_absent_from_test_count
celltype.l3,NK_CD56bright,160821,943,0.0058294799831853815,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD8 TCM_1,160835,929,0.005742934150985386,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,pDC,160903,861,0.005322568680299696,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,cDC2_1,160992,772,0.004772384461314013,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,gdT_2,160995,769,0.004753838925842586,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,gdT_3,161040,724,0.004475655893771173,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD8 TEM_6,161128,636,0.003931653519942633,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD8 TCM_3,161132,632,0.003906926139314063,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,Doublet,161159,605,0.003740016320071215,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD4 TCM_2,161171,593,0.0036658341781855047,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,NK Proliferating,161216,548,0.003387651146114092,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,gdT_4,161241,523,0.0032331050171855295,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD4 TEM_2,161312,452,0.002794194011028412,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,CD8 TEM_3,161371,393,0.002429465146757004,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,HSPC,161435,329,0.0020338270566998837,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,Plasma,161446,318,0.0019658267599713163,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD8 Naive_2,161474,290,0.0017927350955713262,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,dnT_1,161575,189,0.0011683687346999332,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,dnT_2,161597,167,0.0010323681412427981,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,cDC1,161613,151,0.000933458618728518,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,ILC,161632,132,0.0008160035607428105,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD4 Proliferating,161656,108,0.0006676392769713904,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
